Type,URL,Canonical_URL,Self_Canonicalizing,Has_Foreign_Domain
EN Static,https://www.welovepdf.best,https://www.welovepdf.best,True,False
EN Static,https://www.welovepdf.best/about-us,https://www.welovepdf.best/about-us,True,False
EN Static,https://www.welovepdf.best/contact,https://www.welovepdf.best/contact,True,False
EN Static,https://www.welovepdf.best/privacy-policy,https://www.welovepdf.best/privacy-policy,True,False
EN Static,https://www.welovepdf.best/terms-and-conditions,https://www.welovepdf.best/terms-and-conditions,True,False
EN Static,https://www.welovepdf.best/cookies,https://www.welovepdf.best/cookies,True,False
EN Static,https://www.welovepdf.best/security,https://www.welovepdf.best/security,True,False
EN Static,https://www.welovepdf.best/blog,https://www.welovepdf.best/blog,True,False
EN Static,https://www.welovepdf.best/pricing,https://www.welovepdf.best/pricing,True,False
EN Static,https://www.welovepdf.best/faq,https://www.welovepdf.best/faq,True,False
EN Static,https://www.welovepdf.best/vs/adobe-acrobat,https://www.welovepdf.best/vs/adobe-acrobat,True,False
EN Static,https://www.welovepdf.best/vs/ilovepdf,https://www.welovepdf.best/vs/ilovepdf,True,False
EN Static,https://www.welovepdf.best/vs/smallpdf,https://www.welovepdf.best/vs/smallpdf,True,False
EN Tool,https://www.welovepdf.best/merge-pdf,https://www.welovepdf.best/merge-pdf,True,False
EN Tool,https://www.welovepdf.best/split-pdf,https://www.welovepdf.best/split-pdf,True,False
EN Tool,https://www.welovepdf.best/delete-pages,https://www.welovepdf.best/delete-pages,True,False
EN Tool,https://www.welovepdf.best/extract-pages,https://www.welovepdf.best/extract-pages,True,False
EN Tool,https://www.welovepdf.best/reorder-pages,https://www.welovepdf.best/reorder-pages,True,False
EN Tool,https://www.welovepdf.best/rotate-pdf,https://www.welovepdf.best/rotate-pdf,True,False
EN Tool,https://www.welovepdf.best/duplicate-pages,https://www.welovepdf.best/duplicate-pages,True,False
EN Tool,https://www.welovepdf.best/add-blank-page,https://www.welovepdf.best/add-blank-page,True,False
EN Tool,https://www.welovepdf.best/crop-pdf,https://www.welovepdf.best/crop-pdf,True,False
EN Tool,https://www.welovepdf.best/page-numbers,https://www.welovepdf.best/page-numbers,True,False
EN Tool,https://www.welovepdf.best/watermark-pdf,https://www.welovepdf.best/watermark-pdf,True,False
EN Tool,https://www.welovepdf.best/header-footer,https://www.welovepdf.best/header-footer,True,False
EN Tool,https://www.welovepdf.best/metadata-editor,https://www.welovepdf.best/metadata-editor,True,False
EN Tool,https://www.welovepdf.best/flatten-pdf,https://www.welovepdf.best/flatten-pdf,True,False
EN Tool,https://www.welovepdf.best/annotate-pdf,https://www.welovepdf.best/annotate-pdf,True,False
EN Tool,https://www.welovepdf.best/redact-pdf,https://www.welovepdf.best/redact-pdf,True,False
EN Tool,https://www.welovepdf.best/compare-pdf,https://www.welovepdf.best/compare-pdf,True,False
EN Tool,https://www.welovepdf.best/bookmark-editor,https://www.welovepdf.best/bookmark-editor,True,False
EN Tool,https://www.welovepdf.best/compress-pdf,https://www.welovepdf.best/compress-pdf,True,False
EN Tool,https://www.welovepdf.best/compress-pdf-to-100kb,https://www.welovepdf.best/compress-pdf-to-100kb,True,False
EN Tool,https://www.welovepdf.best/compress-pdf-to-200kb,https://www.welovepdf.best/compress-pdf-to-200kb,True,False
EN Tool,https://www.welovepdf.best/compress-pdf-to-50kb,https://www.welovepdf.best/compress-pdf-to-50kb,True,False
EN Tool,https://www.welovepdf.best/compress-pdf-to-500kb,https://www.welovepdf.best/compress-pdf-to-500kb,True,False
